ORIGIN_AIRPORT,DESTINATION_AIRPORT
RHI,IMT
DSM,IAH
PHL,IND
DEN,JAX
DEN,RDU
MDW,TUL
STL,OMA
TUL,STL
HNL,DFW
JFK,SAT
EWR,DCA
PHL,SAT
DEN,BDL
GRR,BWI
RDU,HOU
MSY,SFO
LBE,MCO
CLT,PWM
CLE,BNA
MCO,ORF
ORD,MOB
LAX,RDM
MCO,GRR
ABQ,BWI
UST,IAD
TTN,IND
ORD,MQT
CLT,ROC
PHL,JAX
BWI,LIT
GEG,OAK
PNS,HOU
SAN,TUS
OGG,DFW
EGE,LAX
MSY,ORD
CLT,SAN
ICT,LAX
PHL,RDU
BHM,MCO
RSW,PIT
TPA,SEA
SYR,MCO
STL,TTN
EWR,PDX
IAD,PHX
CMH,BNA
MKE,MCI
ROC,BWI
ORD,ABE
CLT,PDX
ELP,SAT
MCI,HOU
SAT,MDW
STL,SEA
MSY,SEA
LAX,MEM
BOI,SAN
RKS,GCC
ATL,COS
SIT,JNU
FLL,SEA
PHX,ANC
SAT,SEA
ORH,FLL
MIA,MEM
RSW,LBE
LAX,OKC
MSN,EWR
GRR,EWR
BOS,STL
AUS,SEA
IAH,PDX
IAH,SMF
JFK,SJC
ICT,IAH
SAN,RNO
CMH,LAX
PHF,DEN
EWR,TYS
ORD,RNO
AUS,BOS
MEM,HOU
TPA,ISP
TPA,SDF
MCO,SEA
ORD,GSO
EWR,SAT
DEN,RDM
AUS,SJC
BRW,ANC
ATL,MHT
ATL,EWN
ATL,BTV
OAK,DFW
CHS,BNA
GSP,MDW
LAS,TUL
MIA,SEA
SWF,MCO
ATL,MBS
SJU,DCA
BHM,HOU
IND,EWR
ATL,GRB
IAH,PBI
STL,DCA
IND,LAX
JFK,PDX
EWR,SBN
LAX,GEG
DEN,COD
BNA,ECP
BNA,FLL
BOS,MCI
MDW,TUS
ATL,FAR
ATL,SCE
BUF,IAD
BMI,DEN
MSY,BWI
ORF,IAD
JAX,HOU
MDW,PDX
TPA,ALB
LGA,IAD
SEA,COS
RDU,STL
STL,CMH
STL,GRR
STL,PHL
STL,RDU
ATL,CHO
JFK,SMF
ATL,RAP
ATL,LNK
EWR,TUL
OAK,GEG
ATL,SJC
SFO,COS
BOS,CAK
HOU,MEM
LAX,ANC
DTW,TTN
ATL,CSG
MKE,STL
DTW,PIT
ATL,AZO
DEN,PIA
CMH,IAD
ATL,LAN
DEN,HLN
HNL,IAH
MCI,IND
MIA,BDL
CVG,BNA
JFK,ABQ
JFK,DEN
PBI,TTN
CVG,MKE
BWI,FNT
HOU,CHS
MDW,ICT
HOU,JAX
MIA,SAN
ATL,ELM
PBI,ACY
SYR,EWR
BNA,AUS
MDW,SJC
HOU,MCI
KOA,DEN
ATL,FSD
FLL,MYR
HOU,BHM
MDW,ONT
HOU,RDU
CLT,SLC
RSW,IAD
ANC,ORD
SFO,PSC
KTN,JNU
ATL,PWM
BWI,GRR
DCA,CAK
SAN,ABQ
FLL,RIC
ATL,SMF
ATL,AVP
EWR,DSM
BNA,CLE
BNA,PIT
LIH,DEN
FLL,IAD
LGB,BOS
ATL,FSM
IND,TTN
MDW,ROC
MIA,GSO
STL,MKE
SEA,BLI
MIA,RIC
EWR,BQN
CVG,PHX
MYR,ACY
OAK,JFK
HNL,EWR
DAL,ICT
MDW,DSM
STL,MSY
MIA,BNA
BWI,GSP
BUR,JFK
TTN,DTW
FLL,PBG
HNL,ANC
MCO,PSE
MIA,GNV
SJC,BOS
FLL,IAG
IAD,ROC
LIH,PHX
HNL,SLC
MCO,BQN
KOA,PHX
TTN,STL
ITO,LAX
SAN,MIA
SFO,BWI
SFO,PIT
MYR,BOS
HNL,DEN
SFO,MSY
PDX,DTW
SJC,ATL
OGG,DEN
SAN,CVG
SJC,JFK
SEA,CVG
ANC,LAS
ANC,FAI
ANC,LAX
HNL,BLI
ANC,DEN
SMF,JFK
LAS,ANC
SMF,ATL
DEN,PBI
FLL,BQN
ABQ,JFK
JFK,PSE
PHX,CVG
BQN,FLL
FAR,MSP
MSO,MSP
ROC,EWR
BTV,ATL
TUL,EWR
BWI,SFO
BZN,MSP
BIL,MSP
DSM,EWR
FAR,ATL
CHS,LGA
ABE,ORD
SBN,EWR
TTN,MCO
ICT,MSP
FSD,ATL
GEG,LAX
MHT,ATL
PWM,ATL
LAN,ATL
RAP,ATL
AZO,ATL
CID,DTW
TPA,ILG
LGA,XNA
CAK,DTW
RAP,MSP
LNK,ATL
SCE,ATL
LIT,LGA
IAD,MEM
TTN,MDW
DAY,MSP
PIT,SFO
SJC,LIH
BHM,LGA
LEX,LGA
PBI,DEN
PVD,DTW
CAE,LGA
MSY,SLC
LAN,MSP
CHA,DTW
IAH,STL
AUS,DTW
LBE,TPA
ELM,ATL
MBS,ATL
EWR,BDL
DTW,IAD
EWR,BUF
DSM,SLC
EWR,ROC
IAD,GSP
MKE,CVG
BDL,MSP
DTW,ORF
DTW,CHA
EWR,BWI
MDW,TTN
BOS,LGA
MEM,IAD
MSP,RNO
ILG,TPA
LGA,ORF
CVG,SAN
CVG,MSP
XNA,LGA
SLC,AUS
OAK,KOA
LGA,CAE
MCO,TTN
MSY,CMH
DTW,FWA
MSP,MSN
JNU,YAK
MSP,PSP
GSO,ORD
MSP,CID
GSP,IAD
PDX,LIH
BWI,EWR
BDL,EWR
LGA,BOS
BLI,OGG
ORF,DTW
CLT,CHS
FWA,ATL
ORF,LGA
RNO,MSP
LIH,SAN
YAK,CDV
ANC,KOA
DTW,TVC
SFO,OTH
TTN,BNA
DTW,MBS
EWR,ALB
PSP,MSP
IAD,CLT
CHS,CLT
TTN,UST
DEN,MDT
MSP,BIS
MCO,BMI
MSP,RST
CDV,ANC
ORD,GSP
TVC,DTW
DEN,GSO
DTW,LIT
DTW,SAT
ATL,RST
MBS,DTW
DTW,ELM
SLC,MSN
DTW,SAV
OTH,SFO
OGG,ANC
BNA,TTN
ALB,IAD
MSP,SAT
RST,ATL
ATL,DSM
DTW,MLI
MSP,CWA
ANC,ADQ
LGA,BTV
BMI,MCO
ANC,CDV
ELM,DTW
KOA,OAK
LIH,SJC
LIT,DTW
TTN,TPA
RST,MSP
ATL,FWA
UST,TTN
MLI,DTW
GSP,LGA
HNL,PPG
GSP,ORD
IAD,PBI
SAV,DTW
BOS,CVG
DSM,ATL
CDV,YAK
IAD,CHS
CWA,MSP
ADQ,ANC
ANC,BRW
TTN,MKE
FWA,DTW
SAT,MSP
LGA,LIT
YAK,JNU
TPA,LBE
MDT,DEN
MSN,SLC
ATL,ONT
OTZ,OME
TTN,CLT
GSO,DEN
LGA,LEX
TPA,TTN
CHS,IAD
LGA,BHM
ATL,OAK
DTW,AUS
CVG,SFO
CVG,BOS
MKE,TTN
SLC,DSM
CVG,LAS
PBI,IAD
BRW,SCC
DTW,SCE
CLT,TTN
SCC,ANC
SFO,CVG
OAK,ATL
LAS,CVG
ONT,ATL
PPG,HNL
OKC,EWR
TUL,MIA
MCO,OMA
SEA,JAC
ORD,PWM
JFK,JAC
IAD,JAC
EWR,HDN
ORD,STT
CLE,SJU
MSP,SJU
EWR,BZN
MSP,EGE
KOA,ANC
LGA,JAX
IAD,HDN
ORD,FCA
ORD,GUC
PHX,MTJ
EWR,MTJ
ORF,EWR
LGA,EYW
DTW,SJU
MSP,ATW
ORD,HDN
OMA,MCO
JFK,PSP
ATL,MSO
JAX,DTW
ATL,STX
DEN,MMH
MSP,ASE
JAC,SEA
JAC,IAD
SEA,BZN
PWM,ORD
CLT,STX
ATW,MSP
MTJ,PHX
HDN,EWR
DTW,ATW
JAC,JFK
GUC,ORD
DFW,MTJ
HDN,ORD
IAD,DAY
IAD,RDU
EGE,MSP
SFO,MTJ
BZN,EWR
ATW,DTW
MMH,DEN
JAX,LGA
FCA,ORD
HDN,IAD
ASE,MSP
MSP,MEM
SFO,HDN
LAX,MTJ
EWR,ORF
SEA,HDN
MTJ,EWR
DTW,JAX
MSO,ATL
DTW,MHT
GSO,ROA
MTJ,DFW
RDU,IAD
PSP,JFK
EYW,LGA
BZN,SEA
SJU,CLE
MCO,MSN
EWR,PWM
MEM,MSP
MHT,DTW
STT,ORD
MTJ,LAX
STX,ATL
SJU,DTW
EWR,BTV
SJU,MSP
MTJ,SFO
STX,CLT
PWM,EWR
MSP,MOT
HDN,SFO
HDN,SEA
PHL,BWI
IAD,ROA
MSN,MCO
BTV,EWR
PHX,DSM
ROA,IAD
MSP,MBS
MIA,TUL
MBS,MSP
DSM,PHX
BWI,PHL
DEN,DRO
MSP,GFK
DRO,DEN
DEN,HDN
DSM,DTW
DTW,CMH
MSP,XNA
EWR,PIT
CMH,DTW
DTW,ROC
XNA,MSP
ROC,DTW
PIT,EWR
LGA,MCI
LGA,OMA
MSP,AZO
SLC,MCI
LGA,MHT
AZO,DTW
MCI,SLC
MHT,LGA
INL,HIB
LEX,DTW
MCI,LGA
OMA,LGA
GRR,CVG
AZO,MSP
GSO,DTW
DTW,HPN
DTW,ERI
CVG,GRR
CVG,STL
ERI,DTW
DTW,AZO
HPN,DTW
LGA,CVG
STL,CVG
DTW,HSV
MSP,RDU
MSP,BMI
HSV,DTW
DTW,GSP
DTW,DAY
PIT,LGA
EWR,AVP
CVG,LGA
CVG,MSN
CVG,CLT
LGA,BUF
MSN,CVG
BMI,MSP
DAY,DTW
AVP,EWR
CLT,CVG
ORD,ROA
LGA,PIT
CLE,BDL
BUF,LGA
CLT,MDT
MSP,MLI
RDU,BDL
MSP,LSE
PIT,DCA
HIB,INL
BTV,IAD
ROC,IAD
MLI,MSP
BDL,CLE
BDL,RDU
CLE,STL
LSE,MSP
STL,CLE
IAD,BTV
MDT,CLT
BNA,RSW
GRR,TPA
TPA,GRR
OAK,DAL
OAK,BWI
EWR,MHT
GRR,RSW
DTW,PWM
RSW,GRR
DAL,OAK
MHT,EWR
CVG,MEM
PWM,DTW
BWI,OAK
MEM,CVG
DCA,PIT
RSW,BNA
OME,OTZ
MSP,FNT
IAD,SYR
FNT,MSP
DTW,MEM
MSP,LNK
MSP,FCA
MEM,DTW
LNK,MSP
FCA,MSP
CLT,CMH
IAD,HSV
CMH,CLT
HSV,IAD
RIC,CAE
PVD,RSW
MKE,MSY
BUF,RSW
LGA,SYR
MSY,MKE
RSW,FNT
DTW,ALB
RSW,BUF
RNO,MDW
MDW,RNO
SYR,LGA
FNT,RSW
RSW,PVD
ALB,DTW
BUF,MSP
MSO,BTM
FAR,JMS
AUS,MSP
DTW,SYR
SYR,DTW
BTR,DCA
RDU,PHF
DCA,BTR
MHT,PHX
DTW,SDF
PIT,JFK
CLT,GSO
DTW,BGM
MSP,HLN
HLN,MSP
BGM,DTW
OMA,PDX
GSO,CLT
PHX,MHT
DTW,RST
RST,DTW
SWF,LGA
ANC,IAH
RAP,JMS
IAD,MSY
PHL,CLE
DTW,MYR
CLE,PHL
MSY,IAD
EWR,SRQ
MYR,LBE
LBE,MYR
SRQ,EWR
MYR,ORD
ORD,MYR
MSP,FWA
DTW,BMI
MYR,DTW
LGA,GRR
DTW,SWF
SWF,DTW
GRR,LGA
BMI,DTW
MYR,IAG
CVG,XNA
IAG,MYR
XNA,CVG
MSP,PSC
DTW,BGR
PSC,MSP
MYR,BWI
LGA,IND
BWI,MYR
MIA,CLE
DTW,ITH
ALB,EWR
CLE,MIA
BGR,DTW
ITH,DTW
GJT,ASE
DTW,TYS
TYS,DTW
MSN,LGA
CLT,MYR
MYR,CLT
FWA,MSP
LGA,BGR
BGR,LGA
JAN,PIA
CLT,DAB
DAB,CLT
MCO,PWM
MDW,PBI
MHT,FLL
PWM,MCO
PBI,MDW
FLL,MHT
IAD,ALB
IAD,TTN
LEX,DCA
DCA,LEX
PDX,FAT
MEM,LAS
CVG,RDU
DTW,CHS
RDU,CVG
CHS,DTW
SDF,MSP
CVG,BDL
BDL,CVG
CVG,MCI
MCI,CVG
CVG,PIT
PIT,CVG
MCI,MIA
AUS,MIA
SAT,MIA
KOA,SAN
IAH,ECP
ECP,IAH
SAN,KOA
CLT,SMF
MIA,MCI
IAH,PIA
MIA,SLC
MIA,SAT
MIA,AUS
SMF,CLT
SLC,MIA
PIA,IAH
LAS,MEM
PVD,PBI
PNS,MDW
LAS,BDL
MSY,SAT
SAT,MSY
HOU,SJU
TPA,DAY
PIT,PBI
MCI,RSW
ALB,RSW
DAL,ECP
ECP,STL
DAY,TPA
RSW,ALB
STL,ECP
IND,LGA
ECP,DAL
STL,SAN
SJU,HOU
BDL,LAS
SAN,STL
RSW,MCI
PBI,PIT
PBI,PVD
MDW,PNS
RSW,ISP
ISP,RSW
BWI,CVG
TYS,LEX
MYR,PHL
PHL,MYR
ACY,BOS
BOS,ACY
MSP,BUF
TYS,CLL
ORF,DCA
MYR,CRW
CRW,MYR
MSP,SYR
SYR,MSP
MSP,PIA
PIA,MSP
CVG,RIC
RIC,CVG
CVG,BWI
LGA,AGS
AGS,LGA
IAH,AGS
BIL,COD
IND,PHL
JFK,PIT
ORF,MSP
IAD,AUS
MSP,GTF
GTF,MSP
SMF,DAL
MEM,DAL
AUS,IAD
DAL,MKE
DAL,SEA
DAL,PDX
DAL,MEM
LAS,JAX
CMH,DCA
DAL,CMH
JAX,LAS
PDX,DAL
SEA,DAL
DAL,IND
IND,DAL
SJC,DAL
CMH,DAL
DCA,CMH
DAL,SJC
DAL,SMF
MKE,DAL
SAN,MKE
HOU,RSW
DAL,CHS
CHS,DAL
MKE,SAN
RSW,HOU
TTN,ORD
ORD,TTN
ACY,ATL
ORD,ACY
LBE,LAS
IAH,OAK
DFW,MYR
DTW,ACY
OAK,IAH
MYR,PBG
MYR,DFW
PBG,MYR
CLE,MYR
ACY,DTW
ACY,ORD
MYR,CLE
ATL,ACY
LAS,LBE
EWR,JFK
BNA,MOB
CVG,DCA
DCA,CVG
CLT,SDF
CLE,SEA
SDF,CLT
LGA,MEM
SEA,CLE
DSM,LGA
SFO,OMA
BOI,SEA
SEA,BOI
MSP,ALB
ALB,MSP
MCO,ABQ
ABQ,MCO
LGA,PWM
PWM,LGA
OMA,SFO
HOU,SEA
SEA,HOU
SFO,SMX
SMX,SFO
FSD,LNK
MCI,LNK
JFK,ACK
ORD,LBE
ACK,JFK
DCA,PVD
LBE,ORD
PVD,DCA
PHL,PDX
PDX,PHL
EWR,OKC
MCI,AUS
BOS,ACK
MSP,TVC
ACK,BOS
JFK,MVY
MVY,JFK
TVC,MSP
LGB,ANC
ANC,LGB
SGF,HYS
MSP,FAI
SEA,SIT
FAI,MSP
SIT,SEA
IAH,ANC
BOS,OAK
OAK,BOS
ATL,ANC
ANC,ATL
SLC,ANC
ANC,SLC
JFK,RNO
RNO,JFK
TUL,AUS
SLC,WYS
WYS,SLC
SLC,XNA
XNA,SLC
LGA,MSN
MIA,JAX
IND,SLC
JAX,MIA
DFW,ANC
ORD,FAI
SLC,IND
PHL,SMF
MSP,ORF
FAI,ORD
CLT,ABQ
ANC,DFW
LGA,ILM
SMF,PHL
ABQ,CLT
ILM,LGA
MSP,LEX
LEX,MSP
IAH,STT
ATL,FCA
IAH,RAP
CLE,CHS
FCA,ATL
RAP,IAH
CHS,CLE
STT,IAH
GEG,MDW
LAX,OMA
BWI,PDX
ANC,DLG
OAK,BNA
BNA,SEA
SEA,BNA
DLG,ANC
PDX,HOU
PDX,BZN
PDX,BWI
HOU,PDX
BNA,OAK
MDW,GEG
MSY,OAK
ANC,AKN
OAK,MSY
OMA,LAX
MDW,BOI
JNU,GST
BZN,PDX
BOI,MDW
AKN,ANC
GST,JNU
LGA,TVC
SLC,HOU
LAS,MHT
TVC,ATL
TPA,ORF
DEN,ALB
MDW,PWM
ATL,TVC
MSP,IDA
ORF,TPA
TVC,LGA
PWM,MDW
IDA,MSP
MSN,CID
MHT,LAS
ALB,DEN
HOU,SLC
MSN,CWA
FSD,LAR
SLC,MEM
MEM,SLC
MCI,DLH
OMA,DCA
SWF,TPA
BOS,MVY
MVY,BOS
JFK,HYA
HYA,JFK
BOS,SMF
SMF,BOS
DCA,ACK
ACK,DCA
ORD,COD
COD,ORD
EWR,MYR
MYR,EWR
LGA,BZN
BZN,LGA
PDX,AUS
AUS,SNA
IND,BOS
SNA,MDW
BOS,IND
MSO,ORD
AUS,STL
SNA,AUS
STL,AUS
MDW,SNA
AUS,PDX
PDX,STL
SEA,OKC
DEN,OTH
OTH,DEN
STL,PDX
OKC,SEA
SFO,MSO
MSO,SFO
ORD,BIL
BIL,ORD
EWR,TVC
TVC,EWR
EWR,ANC
ANC,EWR
IAD,SAT
SAT,IAD
LFT,BHM
RST,CLE
MEM,LGA
DCA,HSV
HSV,DCA
DCA,RDU
RDU,DCA
DCA,SYR
SYR,DCA
DCA,PNS
PNS,DCA
DCA,GSP
OMA,DAL
SLC,DAL
RDU,DAL
BOS,CMH
CMH,OAK
CMH,BOS
DTW,DAL
GSP,DCA
DAL,BOS
DAL,PHL
DAL,CLT
DAL,PIT
OAK,CMH
BOS,DAL
PHL,DAL
CLT,DAL
PIT,DAL
DCA,SDF
DAL,RDU
SDF,DCA
DAL,DTW
DAL,SLC
DAL,OMA
SAV,BQK
CHS,OKC
SBN,COS
PHL,PVD
PVD,PHL
DCA,PWM
PWM,DCA
BOI,PDX
DCA,HPN
HPN,DCA
FAT,SAN
SAN,FAT
SBN,CVG
FAT,PDX
GSP,RIC
FCA,MSO
LAX,MSN
SFO,MSN
BOS,MSN
IAH,MSN
IAD,MSN
IND,RDU
MSN,BOS
MSN,IAH
MSN,LAX
MSN,SFO
SBN,IAH
PHL,RIC
RIC,PHL
EWR,PHL
PHX,LGB
LGB,PHX
14747,11298
14771,13487
12889,13487
12892,13303
14771,11057
14771,13930
12892,13930
14869,11057
12892,11298
12892,13487
12892,10693
12892,11057
10299,14747
12889,12266
14747,13487
14771,12266
11292,12478
14107,11298
14747,13930
10299,14057
14869,10397
14771,11298
12892,12266
12889,11298
12889,13198
11292,11057
11630,14747
12889,12173
10732,11618
14254,13204
10141,13487
10627,13487
11982,11298
12173,12402
14107,12266
13930,13303
14683,11298
12266,13303
11618,11298
10721,13930
10721,11298
13487,11298
11618,11057
10721,11057
10721,13303
11884,14747
13930,11298
15919,11298
13851,11298
11111,13930
10693,13930
12191,11298
14783,11298
15016,13930
12173,12758
14487,14771
14107,11292
12173,13830
10423,11298
13930,14107
14107,11057
15370,11298
13851,13930
11953,13303
13891,14771
15376,12266
14254,12478
11778,11298
11278,13930
14100,13930
13204,13303
15304,11057
11637,13487
14842,11298
10155,11298
11775,13930
12173,12982
15376,11298
13930,12266
10721,10693
11298,13930
12889,13930
11057,13930
13931,11057
11298,11057
13487,11057
10821,11057
14122,11057
14747,14107
11775,13487
11049,11298
10990,13930
14747,14771
10631,13487
13158,12266
14108,13930
13930,11697
13198,13930
11447,12519
13487,13930
15304,10397
12206,12266
13495,12266
14100,11298
12266,11057
14057,14107
13204,11057
13487,10397
13204,10397
15624,10397
10747,12266
15411,11298
14771,11292
12891,11298
10994,10397
13256,12266
14747,11292
10792,11697
14492,11057
12451,10397
14492,10397
10721,13577
13127,14869
10781,12266
14960,11298
12278,13930
14685,10397
11995,10397
13485,13930
11977,13930
10781,10397
14100,13204
13487,11292
10423,12266
14057,11292
11618,12266
13930,11292
10721,12339
10721,13232
12892,11292
13198,11259
10257,13232
10423,15016
13796,12892
13851,11259
13851,12889
14100,10693
14107,10140
13232,10721
13232,12892
13296,15304
12191,12889
14122,15304
14570,12889
14683,15016
14747,12889
14893,14679
14107,13930
10721,14100
14524,11057
14747,12892
12217,10397
10713,13487
12892,10397
10693,10397
10208,10397
10792,13930
10136,11298
11603,14771
14689,12892
11471,13930
11315,13487
13264,11292
12478,10732
14570,14771
14814,12266
11308,10397
14814,10397
11982,12266
14747,12266
11066,10821
12892,14107
12896,11259
10397,10821
10397,13232
10693,13232
13796,11292
14057,14831
13232,10397
13232,15016
11292,13232
11884,11292
15016,11259
14307,13232
14683,10821
14893,12889
14893,12892
14307,14100
12478,14843
11721,13930
11140,12266
12266,13930
10185,12266
14108,12266
13277,10397
11977,10397
11203,13930
14893,11292
14100,12266
12191,15016
12889,14570
13198,13232
10693,12191
14057,12892
13342,12889
13487,15016
11433,10397
11697,10397
14107,14831
14771,10397
14771,12889
11278,11298
12953,13303
12478,13303
11278,11057
10599,10397
11057,10397
13930,10397
10599,13303
14570,12892
12156,13487
11603,11292
14952,13930
13930,11057
10620,11292
14869,11292
11042,11298
15096,10397
10721,11433
10408,10397
15249,10397
11423,12266
10408,13930
12915,12266
13342,11433
12892,14771
10721,12264
10821,12266
11278,12266
12953,12266
10792,10821
12264,13232
12339,10397
12889,13232
12892,14893
13158,11259
10140,14107
10423,12889
10423,13232
13796,14679
13871,11259
13891,11292
13931,10821
14027,10397
13244,13232
11267,10821
11292,15016
11423,13232
11540,11259
12191,13232
14107,13796
14576,10821
14869,14107
15370,13930
11292,14107
10792,12478
10721,12478
13198,14869
11298,10397
14524,10397
10868,10397
13871,10397
13486,13487
14100,11433
13931,10397
13476,14771
14489,11292
14689,11292
12945,13930
15607,10397
11618,11697
11298,11292
11066,15304
12889,14771
13198,10821
10397,12191
10529,10821
13796,14057
13232,12953
13232,14122
13296,13232
11433,13232
11986,10821
15016,10821
14107,12892
14492,13232
14635,10397
14683,12889
13303,11298
13198,14107
10397,11057
10785,12478
13198,10397
15380,11433
11996,10397
10561,11292
13244,13930
11637,13930
14869,14747
10721,11618
14057,14771
10874,10397
11066,13796
12191,13495
12889,12892
12892,14831
10529,13232
10599,12191
13796,12889
13342,10821
13495,12191
15016,12953
15370,11259
15376,14679
14307,10821
14683,10397
14869,12889
13367,13930
11066,13930
14492,12953
14685,11298
13930,12953
14869,12892
13871,12266
10146,10397
10431,10397
15016,11057
14492,11298
10747,11298
11973,11298
10980,11298
14683,14869
10990,10397
14576,10397
11066,10397
11267,10397
10257,10397
10980,10397
12278,10397
14576,11618
11618,12451
11278,11042
11042,13930
10599,13930
13342,11042
10785,10397
14108,10397
11982,10397
12197,10397
14098,10397
12323,10397
10577,11433
11150,10397
13851,11433
14524,11433
12266,10397
10135,11433
11995,12953
11617,10397
13795,10397
13029,10397
11003,10397
13367,10397
11146,13930
11577,13930
12889,11292
11042,15304
11292,11298
10423,11292
11292,13930
12339,11292
11433,11292
15356,13204
10713,12892
10431,13930
14100,14771
12953,13930
11618,13930
13495,13930
14747,11618
13930,14771
13198,12266
13930,13204
12892,11618
14057,12266
14771,12892
14771,11618
11618,14771
13930,11278
11292,11618
12892,12478
10693,12266
10821,14771
14771,12264
12478,14771
14570,11292
12478,12892
11292,12266
14771,10721
10721,10821
10994,13232
11057,13232
11259,10397
12339,10821
12889,14831
12953,10397
12953,13232
13198,10693
10140,12892
10257,10821
10279,11259
10397,11259
10423,10397
10423,11259
13796,14107
13871,12889
13891,14107
13891,14893
14057,14908
13232,11042
13232,11259
13232,11292
13296,10821
13342,11292
13487,13342
11259,12191
11259,12889
11259,15016
11278,10397
11278,10693
11292,11259
11433,10821
11618,10693
11697,12191
11721,10821
12191,11259
15016,13232
14107,14679
14122,10693
14321,10821
14747,14908
14843,13204
14893,13891
12889,13303
10721,12892
15016,11298
13495,13303
14843,13303
11278,13303
12953,11298
12264,13303
11298,11278
11638,11298
10693,11298
11618,13303
13891,11298
13204,11298
15016,13303
14027,11298
13871,11298
10397,11298
15304,14100
13871,14107
11057,11298
11697,14100
13930,14100
10529,11057
12953,11278
12953,10721
11278,12953
10721,12953
10721,11278
12339,14107
14635,14100
12266,14107
14771,14107
14100,13303
10423,13303
11630,10299
14828,12523
14747,10299
14747,13796
13796,14747
14893,14747
12892,14747
14107,14747
15096,12478
11278,10721
14576,12478
11278,11697
14321,12478
13204,12478
14771,12954
12953,13204
14843,12478
11697,12953
14027,12478
12478,13204
11481,10397
14747,14869
12951,10397
14747,10397
11986,11433
14057,14869
11057,11433
13485,10397
15370,10397
10434,10397
12448,10397
11423,10397
14107,12478
10397,12953
14747,11433
11721,10397
10721,10397
14730,10397
15323,10397
14252,14869
10529,10397
10620,13487
10299,13487
11193,10397
15016,10397
10849,13487
14193,10397
14986,10397
11953,10397
12892,14869
11641,10397
11986,10397
11298,14869
10529,11433
12992,10397
12264,10397
13851,10397
13422,10397
12889,10397
10821,10397
12953,11433
13342,10397
12945,10397
15919,10397
10135,10397
11612,10397
13931,11433
11278,11433
11618,11433
14783,13930
12992,13930
13930,11618
15919,13930
14524,12953
11540,13930
11823,11298
11980,11298
12339,13930
13290,13930
11193,13303
11433,12953
10158,15304
11066,13303
11042,13303
10397,13204
11298,11697
10685,10397
13377,10397
11298,13796
13264,14771
11109,11292
11076,13930
11122,14869
11865,11292
13930,11042
14252,11292
14543,11292
14905,14771
11587,11433
14457,11292
12335,14520
12343,12129
14747,10713
14689,14747
13891,14747
12003,13487
14057,14747
14893,14771
10157,14771
11638,11292
12278,12266
11298,12892
12884,13930
13930,10431
13930,13487
13930,11066
13204,12953
14633,13930
13930,10994
12892,12264
15048,13930
11267,13930
13377,11298
11193,11618
13931,11618
11995,11618
15096,11433
10185,10397
12266,14771
10849,14747
14122,13930
11618,10721
10821,13232
11042,10821
12278,13232
12339,13198
12889,12191
14100,13232
13232,11618
13232,13204
13487,13232
11292,12191
11618,13232
11996,12191
12191,10397
15376,11292
14307,13204
14683,11259
11109,11298
13198,11298
14683,13303
14307,11057
11057,12953
14893,14107
11433,11298
14747,14831
12892,14057
14027,12953
14783,10397
10821,11433
10140,14869
10721,13487
14107,11433
14492,11433
13796,14869
11292,10397
15380,13930
10268,13930
11193,13930
15295,13930
11638,14747
12389,11292
11525,14869
10693,13487
12451,11618
13930,10721
11292,12264
14107,11618
13303,12953
11298,12953
13244,10397
11042,12266
14262,11298
14689,14771
14262,11292
11433,12266
12888,11292
12217,12266
10599,12266
11481,12266
11618,12264
10397,13487
10721,14771
14492,12266
15304,13930
10821,10721
11140,12191
11259,10423
12391,10821
12889,14893
12892,13198
13198,12889
13495,12889
13796,12191
13891,14831
13204,12191
13232,10693
13232,10821
13232,11278
11259,10693
11259,12892
11278,13342
12191,13204
14122,10821
11066,11298
11298,13303
14771,14100
10721,14107
11298,14107
12892,15016
12478,10792
13204,14843
11618,13204
10792,10397
11986,13930
12448,11298
12951,11298
11423,13930
12389,13487
11648,14869
11603,14869
12892,14679
14696,10397
11042,10721
11292,13487
13296,11618
12758,12173
13830,12173
13244,12892
11612,13930
10434,13930
10469,13930
11884,14869
11109,10397
14122,10397
13891,14869
14893,14869
10994,11618
10599,11433
15412,11618
13931,13487
12264,11433
10731,10397
14683,12266
14679,11618
11292,14771
10423,11618
14679,14771
10821,11697
12892,12889
10397,12889
13851,15016
13232,12889
13342,14107
11259,13198
11259,14107
11292,10693
11292,10821
11292,14869
11540,14683
12191,10821
15016,11292
15016,13198
14107,10800
14107,14869
14869,11259
14893,11259
12451,11298
14492,13303
10693,12892
13495,11298
11298,14100
13204,14100
14100,10721
14570,14107
13930,14747
10299,10551
10721,14122
12451,12478
12478,10397
11618,10397
10257,11433
14771,12478
12953,13487
12889,11433
13495,10397
14679,14869
13204,14869
15376,10397
14679,10397
14100,10397
11775,10397
14831,14869
11111,11298
12266,13487
11413,11298
10821,13930
13476,14107
14489,14771
12003,14869
13158,11292
13433,11292
11638,14869
14262,14869
14679,11292
14679,12892
11109,12266
15624,12266
10140,14771
13871,11292
15249,11298
13198,11433
11042,12953
13244,12266
12982,12173
13204,13930
14831,12266
14893,12266
10721,12191
12391,13204
12896,10423
10599,10821
13796,10800
13891,13232
13931,13232
14100,15304
11292,13198
12191,11292
14122,13232
14679,14893
14683,11292
14730,13232
11267,11298
10792,11057
11697,11057
12953,11057
14831,14107
14679,11298
14843,11697
10423,12478
14057,10397
11292,11433
14122,11433
12992,11298
11193,11298
